Prob(X),Number of Pairs,Confidence Level (alpha),Time
0.00390625,29,0.25,15
0.00390625,30,0.25,14
0.00390625,31,0.25,14
0.00390625,32,0.25,14
0.00390625,1,0.5,893
0.00390625,2,0.5,448
0.00390625,3,0.5,299
0.00390625,4,0.5,225
0.00390625,5,0.5,180
0.00390625,6,0.5,151
0.00390625,7,0.5,129
0.00390625,8,0.5,113
0.00390625,9,0.5,101
0.00390625,10,0.5,91
0.00390625,11,0.5,83
0.00390625,12,0.5,76
0.00390625,13,0.5,71
0.00390625,14,0.5,66
0.00390625,15,0.5,61
0.00390625,16,0.5,58
0.00390625,17,0.5,54
0.00390625,18,0.5,51
0.00390625,19,0.5,49
0.00390625,20,0.5,47
0.00390625,21,0.5,44
0.00390625,22,0.5,42
0.00390625,23,0.5,41
0.00390625,24,0.5,39
0.00390625,25,0.5,38
0.00390625,26,0.5,36
0.00390625,27,0.5,35
0.00390625,28,0.5,34
0.00390625,29,0.5,33
0.00390625,30,0.5,32
